text,location,lat,lon,geonameID
"they have yet to figure out where to put about $2 billion in federal economic stimulus money. Given that, Senate Majority Leader Larry Pogemiller, DFL- Minneapolis said education cuts may end up being moderated once details of how the state can spend the federal money are unraveled. The state's $33",Minneapolis,44.98,-93.2638,5037649
"economic changes. Pawlenty's spokesman said it was good that DFL leaders ""are finally publicly admitting they'd like to wallop the families and small businesses of Minnesota with massive tax increases."" Brian McClung added that the cuts did not look at funding priorities. ""An off-the-shelf computer program could do these kinds",Minnesota,46.2502,-94.2506,5037779
"""An off-the-shelf computer program could do these kinds of across-the-board cuts,"" McClung said. ""We would expect more from DFL legislators."" Tom Dooher, president of Education Minnesota was not happy with the Senate announcement. ""The proposed cuts are not in the best interest of Minnesotaâ s school children,"" Dooher said. ""If",Minnesota,46.2502,-94.2506,5037779
"economic changes. Pawlenty's spokesman said it was good that DFL leaders ""are finally publicly admitting they'd like to wallop the families and small businesses of Minnesota with massive tax increases."" Brian McClung added that the cuts did not look at funding priorities. ""An off-the-shelf computer program could do these kinds",Minnesota,46.2502,-94.2506,5037779
"the 1930s."" The Minnesota House unanimously voted to support freedom of the press Thursday, after a week of controversy. House Minority Leader Marty Seifert, R- Marshall â “ joined by House Majority Leader Tony Sertich, DFL-Chisholm â “ brought a motion to the floor voicing that support because proposed House",Marshall,44.4469,-95.7884,5036727
"of the press Thursday, after a week of controversy. House Minority Leader Marty Seifert, R-Marshall â “ joined by House Majority Leader Tony Sertich, DFL- Chisholm â “ brought a motion to the floor voicing that support because proposed House rules would have restricted media work on the House floor",Chisholm,47.4891,-92.8838,5021088
"there has been confusion as the rules were being discussed and no changes should have been made by House staff members. Rep. Torrey Westrom, R- Elbow Lake said the talk of stricter press rules is a sign of bigger problems with DFL leaders. ""I know the press isn't really happy with",Elbow Lake,45.9941,-95.9767,5025381
Drivers warned to watch out for flooded roads. - Highway 200 east of Mahnomen from Mahnomen County Road 3 to Mahnomen County Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter,Mahnomen,47.3152,-95.9687,5036278
Drivers warned to watch out for flooded roads. - Highway 200 east of Mahnomen from Mahnomen County Road 3 to Mahnomen County Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter Tail County Road 80 - Highway 108 east of Pelican Rapids from Highway,Twin Lakes,43.5597,-93.423,5050760
200 east of Mahnomen from Mahnomen County Road 3 to Mahnomen County Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter Tail County Road 80 - Highway 108 east of Pelican Rapids from Highway 59 to Star Lake - Highway 59 from Otter,Perham,46.5944,-95.5725,5041188
of Mahnomen from Mahnomen County Road 3 to Mahnomen County Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter Tail County Road 80 - Highway 108 east of Pelican Rapids from Highway 59 to Star Lake - Highway 59 from Otter Tail/Grant county line to,Otter Tail County,46.4,-95.7003,5040515
Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter Tail County Road 80 - Highway 108 east of Pelican Rapids from Highway 59 to Star Lake - Highway 59 from Otter Tail/Grant county line to north junction Highway 55 - Highway 55 from Grant/Wilkin,Pelican Rapids,46.5708,-96.0831,5041072
Highway 10 eastbound and westbound east of Perham near Otter Tail County Road 80 - Highway 108 east of Pelican Rapids from Highway 59 to Star Lake - Highway 59 from Otter Tail/Grant county line to north junction Highway 55 - Highway 55 from Grant/Wilkin county line to County Road 43,Star Lake,46.5308,-95.8064,5048578
from Otter Tail/Grant county line to north junction Highway 55 - Highway 55 from Grant/Wilkin county line to County Road 43 - Highway 114 at Douglas County Road 4 at the south end of Lake Mary - Highway 9 two blocks east of Highway 12 in Benson These highways are currently,Douglas County,45.9333,-95.4503,5024544
changing conditions could call for closures in some areas. Motorists should use extreme caution watch for water on all area roadways. Highway 75 at the Kent underpass remains closed. Motorists should follow the signed detour. The Minnesota Department of Transportation and the Minnesota State Patrol urges motorists to drive with,Kent,46.4363,-96.6848,5033080
use extreme caution watch for water on all area roadways. Highway 75 at the Kent underpass remains closed. Motorists should follow the signed detour. The Minnesota Department of Transportation and the Minnesota State Patrol urges motorists to drive with caution as flooding continues to affect area highways. Water over the,Minnesota,46.2502,-94.2506,5037779
on all area roadways. Highway 75 at the Kent underpass remains closed. Motorists should follow the signed detour. The Minnesota Department of Transportation and the Minnesota State Patrol urges motorists to drive with caution as flooding continues to affect area highways. Water over the roadway is currently affecting the following,Minnesota,46.2502,-94.2506,5037779
"Patrol urges motorists to drive with caution as flooding continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker Clay, Douglas, Grant, Mahnomen, Otter Tail, Swift and Wilkin",Becker,46.95,-95.6836,5017670
"urges motorists to drive with caution as flooding continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker, Clay Douglas, Grant, Mahnomen, Otter Tail, Swift and Wilkin",Clay,46.8833,-96.4837,5021444
from Otter Tail/Grant county line to north junction Highway 55 - Highway 55 from Grant/Wilkin county line to County Road 43 - Highway 114 at Douglas County Road 4 at the south end of Lake Mary - Highway 9 two blocks east of Highway 12 in Benson These highways are,Douglas,45.9333,-95.4503,5024544
"to drive with caution as flooding continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker, Clay, Douglas, Grant Mahnomen, Otter Tail, Swift and Wilkin",Grant,45.9333,-96.0009,5028615
Drivers warned to watch out for flooded roads. - Highway 200 east of Mahnomen from Mahnomen County Road 3 to Mahnomen County Road 122 near Twin Lakes - Highway 10 eastbound and westbound east of Perham near Otter Tail County,Mahnomen,47.3333,-95.817,5036279
"with caution as flooding continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker, Clay, Douglas, Grant, Mahnomen, Otter Tail Swift and Wilkin",Otter Tail,46.4,-95.7003,5040515
"as flooding continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker, Clay, Douglas, Grant, Mahnomen, Otter Tail, Swift and Wilkin",Swift,45.2666,-95.667,5049534
"continues to affect area highways. Water over the roadway is currently affecting the following areas in Becker, Clay, Douglas, Grant, Mahnomen, Otter Tail, Swift and Wilkin",Wilkin,46.2505,-96.467,5052862
"Drivers safety course offered in Parkers Prairie April 14: four-hour refresher course from 6 to 10 p.m. at Parkers Prairie High School, Room 113, Highway 29, Parkers Prairie. For more information",Parkers Prairie,46.153,-95.3289,5040846
"Drivers safety course offered in Parkers Prairie. April 14: four-hour refresher course from 6 to 10 p.m. at Parkers Prairie High School, Room 113, Highway 29, Parkers Prairie. For more information or to register, call toll free 1-888-234-1294. The Driver Improvement course is open",Parkers Prairie,46.153,-95.3289,5040846
"safety course offered in Parkers Prairie. April 14: four-hour refresher course from 6 to 10 p.m. at Parkers Prairie High School, Room 113, Highway 29, Parkers Prairie For more information or to register, call toll free 1-888-234-1294. The Driver Improvement course is open to the public; however, pre-registration is requested. A",Parkers Prairie,46.153,-95.3289,5040846
"Prairie. For more information or to register, call toll free 1-888-234-1294. The Driver Improvement course is open to the public; however, pre-registration is requested. A Minnesota Highway Safety and Research Center certified instructor teaches this class. Driver safety, confidence and comfort are enhanced by utilizing the most up-to-date research in",Minnesota,46.2502,-94.2506,5037779
Local volunteers join flood fighting effort in Fargo Tastefully Simple and The Alexandria Blizzard coordinated an effort to bus 300 volunteers from the Alexandria area to the affected area Tuesday. As the,Fargo,46.8772,-96.7898,5059163
Local volunteers join flood fighting effort in Fargo. Tastefully Simple and The Alexandria Blizzard coordinated an effort to bus 300 volunteers from the Alexandria area to the affected area Tuesday. As the National Weather Service stuck to,Alexandria,45.8852,-95.3775,5016108
Local volunteers join flood fighting effort in Fargo. Tastefully Simple and The Alexandria Blizzard coordinated an effort to bus 300 volunteers from the Alexandria area to the affected area Tuesday. As the National Weather Service stuck to its prediction that the Red River will crest at 39 to,Alexandria,45.8852,-95.3775,5016108
"effort to bus 300 volunteers from the Alexandria area to the affected area Tuesday. As the National Weather Service stuck to its prediction that the Red River will crest at 39 to 41 feet in Fargo-Moorhead on Friday, the mounting stress of a potential record flood began to take its toll.",Red River,46.6488,-92.2363,5042747
"said Salvation Army Captain Adam Moore. â Weâ re seeing that on the streets. â As of 8:15 p.m. Monday, the Red River level in Fargo was 27.58 feet. Weather service officials warned that a storm system moving into the Red River Valley from Nebraska overnight could drop up to",Fargo,46.8772,-96.7898,5059163
"affected area Tuesday. As the National Weather Service stuck to its prediction that the Red River will crest at 39 to 41 feet in Fargo- Moorhead on Friday, the mounting stress of a potential record flood began to take its toll. â Fear is setting in,â said Salvation Army Captain",Moorhead,46.8739,-96.7676,5038108
"Fear is setting in,â said Salvation Army Captain Adam Moore. â Weâ re seeing that on the streets. â As of 8:15 p.m. Monday, the Red River level in Fargo was 27.58 feet. Weather service officials warned that a storm system moving into the Red River Valley from Nebraska overnight could",Red River,46.6488,-92.2363,5042747
"area before the rain turns to snow Wednesday. Despite sporadic showers Monday, Fargo Mayor Dennis Walaker said the city â had a good day. â Fargo tried to speed up the dike-building process by deploying a portable wall system thatâ s used to protect soldiers in Iraq and Afghanistan from",Fargo,46.8772,-96.7898,5059163
"Monday, the Red River level in Fargo was 27.58 feet. Weather service officials warned that a storm system moving into the Red River Valley from Nebraska overnight could drop up to an inch of rain over a widespread area before the rain turns to snow Wednesday. Despite sporadic showers Monday,",Nebraska,41.5003,-99.7507,5073708
"expects that number will eventually reach about 400. Hoeven said the stateâ s National Guard committed 500 soldiers to the water war, with more available. Fargo raised its goal for daily sandbag output to 300,000 to try to fill 2 million bags by Thursday. â If those neighborhoods hold, we",Fargo,46.8772,-96.7898,5059163
"sandbag output to 300,000 to try to fill 2 million bags by Thursday. â If those neighborhoods hold, we are safe as a city,â said Fargo City Commissioner Tim Mahoney. â If weâ re unable to do that, weâ re going to have a problem. â The city was prepared",Fargo,46.8772,-96.7898,5059163
a good day. â Fargo tried to speed up the dike-building process by deploying a portable wall system thatâ s used to protect soldiers in Iraq and Afghanistan from bullets and grenades. Sharon Mueller watched from near her home just off 40th Avenue South as a payloader filled a wall,Iraq,33,44,99237
day. â Fargo tried to speed up the dike-building process by deploying a portable wall system thatâ s used to protect soldiers in Iraq and Afghanistan from bullets and grenades. Sharon Mueller watched from near her home just off 40th Avenue South as a payloader filled a wall of the,Afghanistan,33,65,1149361
"like? â she said. Sandbagging hit high gear in the metro, as high schools let out students and colleges canceled classes to aid the effort. North Dakota Governor John Hoeven said students would be forgiven for missed school days. About 30 Concordia College students stacked sandbags around Barb Grothâ s house",North Dakota,47.5003,-100.001,5690763
"Governor John Hoeven said students would be forgiven for missed school days. About 30 Concordia College students stacked sandbags around Barb Grothâ s house in Oakport Township north of Moorhead, where several hundred volunteers pitched in. Groth, whose home flooded in 1997 when the Red River crested at 39.57 feet, said",Oakport Township,46.9416,-96.7256,5040008
"students would be forgiven for missed school days. About 30 Concordia College students stacked sandbags around Barb Grothâ s house in Oakport Township north of Moorhead where several hundred volunteers pitched in. Groth, whose home flooded in 1997 when the Red River crested at 39.57 feet, said she didnâ t",Moorhead,46.8739,-96.7676,5038108
"around Barb Grothâ s house in Oakport Township north of Moorhead, where several hundred volunteers pitched in. Groth, whose home flooded in 1997 when the Red River crested at 39.57 feet, said she didnâ t think a repeat was possible. â I never thought it could happen again. Weâ re nervous,â",Red River,46.6488,-92.2363,5042747
"at 39.57 feet, said she didnâ t think a repeat was possible. â I never thought it could happen again. Weâ re nervous,â she said. Minnesota Governor Tim Pawlenty stopped in Oakport and Moorhead, urging state residents to join the flood fight. About 230 Minnesota National Guard troops were helping",Minnesota,46.2502,-94.2506,5037779
"Governor John Hoeven said students would be forgiven for missed school days. About 30 Concordia College students stacked sandbags around Barb Grothâ s house in Oakport Township north of Moorhead, where several hundred volunteers pitched in. Groth, whose home flooded in 1997 when the Red River crested at 39.57 feet,",Oakport,46.9319,-96.779,5040007
"a repeat was possible. â I never thought it could happen again. Weâ re nervous,â she said. Minnesota Governor Tim Pawlenty stopped in Oakport and Moorhead urging state residents to join the flood fight. About 230 Minnesota National Guard troops were helping with flood efforts, and he said he expects",Moorhead,46.8739,-96.7676,5038108
"again. Weâ re nervous,â she said. Minnesota Governor Tim Pawlenty stopped in Oakport and Moorhead, urging state residents to join the flood fight. About 230 Minnesota National Guard troops were helping with flood efforts, and he said he expects that number will eventually reach about 400. Hoeven said the stateâ",Minnesota,46.2502,-94.2506,5037779
"sandbag-filling station with hundreds of shovel-wielding volunteers scooping sand dumped on the parking lot. Sandbaggers kept spirits up despite the gloomy weather and flood outlook. Fargo plans to give residents routes out of town Wednesday afternoon or Thursday, said Pat Zavoral, Fargo city administrator. â There are some locations in",Fargo,46.8772,-96.7898,5059163
"spirits up despite the gloomy weather and flood outlook. Fargo plans to give residents routes out of town Wednesday afternoon or Thursday, said Pat Zavoral, Fargo city administrator. â There are some locations in south Fargo where if the water does break away from these [dikes], they wonâ t be",Fargo,46.8772,-96.7898,5059163
"Commissioner Tim Mahoney. â If weâ re unable to do that, weâ re going to have a problem. â The city was prepared for a Red River crest of 38 feet. Now, city officials want to get the dikes up to 42 feet, Mahoney said. At 41 feet â we lose",Red River,46.6488,-92.2363,5042747
"plans to give residents routes out of town Wednesday afternoon or Thursday, said Pat Zavoral, Fargo city administrator. â There are some locations in south Fargo where if the water does break away from these [dikes], they wonâ t be able to use Interstate-29,â he said. Fargo Police Chief Keith",Fargo,46.8772,-96.7898,5059163
"some locations in south Fargo where if the water does break away from these [dikes], they wonâ t be able to use Interstate-29,â he said. Fargo Police Chief Keith Ternes urged residents to go to the cityâ s Web site and register for the Code Red alert system so they",Fargo,46.8772,-96.7898,5059163
"said Salvation Army Captain Adam Moore. â Weâ re seeing that on the streets. â As of 8:15 p.m. Monday, the Red River level in Fargo was 27.58 feet. Weather service officials warned that a storm system moving into the Red River Valley from Nebraska overnight could drop up to",Fargo,46.8772,-96.7898,5059163
"said Salvation Army Captain Adam Moore. â Weâ re seeing that on the streets. â As of 8:15 p.m. Monday, the Red River level in Fargo was 27.58 feet. Weather service officials warned that a storm system moving into the Red River Valley from Nebraska overnight could drop up to",Fargo,46.8772,-96.7898,5059163
"Meeting in Alexandria will discuss 2010 census. The town hall meetings, which will take place throughout spring and summer, will include a presentation on organizing local Complete",Alexandria,45.8852,-95.3775,5016108
"faith, media, non-profit, ethnic and other communities. These volunteer committees work together on community events such as festivals, parades, meetings and other activities to keep Minnesota first in the nation in responding to the census. The 2010 census is critical for Minnesota, which is at risk of losing one of",Minnesota,46.2502,-94.2506,5037779
"as festivals, parades, meetings and other activities to keep Minnesota first in the nation in responding to the census. The 2010 census is critical for Minnesota which is at risk of losing one of its eight seats in the U.S. House of Representatives, according to census officials. Census information is",Minnesota,46.2502,-94.2506,5037779
"in responding to the census. The 2010 census is critical for Minnesota, which is at risk of losing one of its eight seats in the U.S. House of Representatives, according to census officials. Census information is also the foundation of equal representation in the state Legislature and determines the allocation",U.S.,39.76,-98.5,6252001
"to transportation. The business community also uses census information for planning, marketing, labor force projections and more. Additionally, the census will employ an estimated 8,000 Minnesotans throughout the",Minnesotans,46.2502,-94.2506,5037779
"Roads in rough shape. â Itâ s not even traffic,â noted Douglas County Public Works Director Dave Robley. â Itâ s the freezing thatâ s the enemy. â Robley said that County Road 35, which is north",Douglas County,45.9333,-95.4503,5024544
"Public Works Director Dave Robley. â Itâ s the freezing thatâ s the enemy. â Robley said that County Road 35, which is north of Alexandria near Lake Vermont, is closed because of water issues. He noted this is a seasonal issue that happens almost every year. In addition, water",Alexandria,45.8852,-95.3775,5016108
"Director Dave Robley. â Itâ s the freezing thatâ s the enemy. â Robley said that County Road 35, which is north of Alexandria near Lake Vermont is closed because of water issues. He noted this is a seasonal issue that happens almost every year. In addition, water has caused a",Lake Vermont,46.0805,-95.3748,5051320
"In addition, water has caused a portion of County Road 56 to wash out. This road is located west of County Road 15, southwest of Brandon Lastly, a culvert on County Road 96 is washed out, closing a portion of the road, which is located northeast of Kensington by Freeborn",Brandon,45.9652,-95.5987,5019184
"15, southwest of Brandon. Lastly, a culvert on County Road 96 is washed out, closing a portion of the road, which is located northeast of Kensington by Freeborn Lake. â Right now, these are the only three [county] roads that are closed,â said Robley. He asked that motorists use caution",Kensington,45.778,-95.6962,5033074
"of Brandon. Lastly, a culvert on County Road 96 is washed out, closing a portion of the road, which is located northeast of Kensington by Freeborn Lake â Right now, these are the only three [county] roads that are closed,â said Robley. He asked that motorists use caution when driving around",Freeborn Lake,45.795,-95.6173,5027407
Driver injured in Nokomis crash. An Alexandria man remains hospitalized after a two-vehicle crash at the intersection of North Nokomis Street and Darling Avenue near the Re/Max realty office in Alexandria,Alexandria,45.8852,-95.3775,5016108
"An Alexandria man remains hospitalized after a two-vehicle crash at the intersection of North Nokomis Street and Darling Avenue near the Re/Max realty office in Alexandria Friday night. Steven Sachs of Alexandria was driving a Mazda and James Tauber of Nelson was driving a Dodge Caravan. Sachs, 58, was taken",Alexandria,45.8852,-95.3775,5016108
"a two-vehicle crash at the intersection of North Nokomis Street and Darling Avenue near the Re/Max realty office in Alexandria Friday night. Steven Sachs of Alexandria was driving a Mazda and James Tauber of Nelson was driving a Dodge Caravan. Sachs, 58, was taken to the Douglas County Hospital and",Alexandria,45.8852,-95.3775,5016108
"Street and Darling Avenue near the Re/Max realty office in Alexandria Friday night. Steven Sachs of Alexandria was driving a Mazda and James Tauber of Nelson was driving a Dodge Caravan. Sachs, 58, was taken to the Douglas County Hospital and later transferred to St. Cloud Hospital where he was",Nelson,45.8894,-95.2642,5038980
"night. Steven Sachs of Alexandria was driving a Mazda and James Tauber of Nelson was driving a Dodge Caravan. Sachs, 58, was taken to the Douglas County Hospital and later transferred to St. Cloud Hospital where he was listed in fair condition Tuesday morning. No other injuries were reported. The crash",Douglas County,45.9333,-95.4503,5024544
"a Mazda and James Tauber of Nelson was driving a Dodge Caravan. Sachs, 58, was taken to the Douglas County Hospital and later transferred to St. Cloud Hospital where he was listed in fair condition Tuesday morning. No other injuries were reported. The crash happened just before 9",St. Cloud,45.5608,-94.1625,5044407
Rollover near Brandon injures Albany driver. Breanna Lueck was driving a 2000 Ford Taurus on County Road 109 about two miles east of Brandon when she lost,Brandon,45.9652,-95.5987,5019184
Rollover near Brandon injures Albany driver. Breanna Lueck was driving a 2000 Ford Taurus on County Road 109 about two miles east of Brandon when she lost control of,Albany,45.63,-94.57,5016002
"Rollover near Brandon injures Albany driver. Breanna Lueck was driving a 2000 Ford Taurus on County Road 109 about two miles east of Brandon when she lost control of the vehicle and it overturned, according to the Douglas County Sheriffâ s",Brandon,45.9652,-95.5987,5019184
"Ford Taurus on County Road 109 about two miles east of Brandon when she lost control of the vehicle and it overturned, according to the Douglas County Sheriffâ s",Douglas County,45.9333,-95.4503,5024544
"Grand Jury Indicts Man In December Slaying. When Alexandria police found the body of Juantissa Hill, 24, inside her Van Dorn Street apartment early last December, she had not shown up for work",Alexandria,38.8048,-77.0469,4744091
"who worked at the Pentagon. Hill’s car was eventually found without a suspect inside, giving investigators only leads. On Monday, about three months later, an Alexandria grand jury indicted 31-year-old Rodney Eric Smith on charges of first-degree murder, forcible sodomy, robbery and grand larceny. As with the majority of rape",Alexandria,38.8048,-77.0469,4744091
"was any danger to the public of a random assault.” Smith was arrested and convicted of “a relatively minor charge” in another state, according to Alexandria Commonwealth’s Attorney Randy Sengel, who will head Smith’s prosecution. Sengel would not identify the jurisdiction but said Smith was sentenced there and is currently",Alexandria,38.8048,-77.0469,4744091
will head Smith’s prosecution. Sengel would not identify the jurisdiction but said Smith was sentenced there and is currently incarcerated while awaiting a transfer to Virginia where he will stand trial. Smith is also wanted in a third state for failure to appear in court in relation to other charges,Virginia,37.5481,-77.4467,6254928
the type of crime inflicted on Hill. Sengel would not comment on whether it was related to sexual assault. Sengel estimated that Smith’s transfer to Virginia would take 60 to 90 days citing the suspect’s recent sentencing in the other jurisdiction and the copious amounts of paperwork necessary for an,Virginia,37.5481,-77.4467,6254928
the type of crime inflicted on Hill. Sengel would not comment on whether it was related to sexual assault. Sengel estimated that Smith’s transfer to Virginia would take 60 to 90 days citing the suspect’s recent sentencing in the other jurisdiction and the copious amounts of paperwork necessary for an,Virginia,37.5481,-77.4467,6254928
"that our case is by far the most serious of the cases and they won’t have any problem with us going ahead [with a trial].” Alexandria detectives worked with Naval Criminal Investigative Services in searching for Hill’s rapist and killer, utilizing military resources to investigate Hill’s background — her characteristics",Alexandria,38.8048,-77.0469,4744091
"and things like that. All the things you just have to start digging from scratch on.” The leads police obtained in the case originated in Alexandria and the surrounding area, according to Corle. Police also received help from the public but “this just happens to be one of the cases",Alexandria,38.8048,-77.0469,4744091
“this just happens to be one of the cases where … the lion’s share of the success came from the work of the detectives in Alexandria ” Corle said. Police did not say exactly how they connected Smith with the homicide but Alexandria Police Spokeswoman Ashley Hildebrandt said the nature,Alexandria,38.8048,-77.0469,4744091
"Grand Jury Indicts Man In December Slaying. When Alexandria police found the body of Juantissa Hill, 24, inside her Van Dorn Street apartment early last December, she had not shown up for work",Alexandria,38.8048,-77.0469,4744091
Smith is also wanted in a third state for failure to appear in court in relation to other charges but will likely be sent to Virginia next under the Interstate Agreement on Detainers. “There is also another jurisdiction that has a warrant for him but we’ve been in touch with,Virginia,37.5481,-77.4467,6254928
"Grand Jury Indicts Man In December Slaying. When Alexandria police found the body of Juantissa Hill, 24, inside her Van Dorn Street apartment early last December, she had not shown up for work",Alexandria,38.8048,-77.0469,4744091
