place name,tweet text
Pakistan,"RT @CNNVideo: A deadly #earthquake in #Pakistan was so powerful that it created a new island, according to experts:  http://t.co/B4h76tNqsC"
Balochistan,"Sleeping country, none cares about affectees #Awaran RT: Death toll in #Balochistan #earthquake jumps to 531 http://t.co/p4C8jtrug2 â€¦"
Balochistan,RT @CNBCPAKISTAN: #Balochistan #Earthquake: Nisar Confirms 348 Deaths :: CNBC #Pakistan :: http://t.co/j9FvaHvi0R
Pakistan,RT @CNBCPAKISTAN: #Balochistan #Earthquake: Nisar Confirms 348 Deaths :: CNBC #Pakistan :: http://t.co/j9FvaHvi0R
Pakistan,RT @FoxNews: Death toll in massive #Pakistan earthquake rises to 348 http://t.co/ad2BkwG7gO
Balochistan,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only"
Awaran,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only"
Balochistan,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only"
Awaran,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only"
Balochistan,"Awaran mn 312 dead,, Keich mn 44 dead..:( #Balochistan #earthquake"
Awaran,"Awaran mn 312 dead,, Keich mn 44 dead..:( #Balochistan #earthquake"
Gwadar,"RT @SaamZad: #BalochistanQuake: An island has emerged in Gwadar on ""Paddi-Zer"" side. #Balochistan #Earthquake http://t.co/2hRnaJdWh8"
island,"RT @SaamZad: #BalochistanQuake: An island has emerged in Gwadar on ""Paddi-Zer"" side. #Balochistan #Earthquake http://t.co/2hRnaJdWh8"
Pakistan,*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg
Pakistan,"#Pakistan confirms at least 357 dead and more than 100,000 people homeless after quake | Full Story: http://t.co/mi9ryMT19w"""
Pakistan,"#Pakistan confirms at least 357 dead and more than 100,000 people homeless after quake | Full Story: http://t.co/mi9ryMT19w"""
Balochistan,"RT @etribune: (News) Scale of #damages: Nearly all of #Mashkai town flattened, say survivors http://t.co/ESwmFWvesS #Balochistan #earthquake"
Mashkai,"RT @etribune: (News) Scale of #damages: Nearly all of #Mashkai town flattened, say survivors http://t.co/ESwmFWvesS #Balochistan #earthquake"
Mashkai,"RT @etribune: (News) Scale of #damages: Nearly all of #Mashkai town flattened, say survivors http://t.co/ESwmFWvesS #Balochistan #earthquake"
Karachi,"RT @husainhaqqani: RT@omar_quraishi: 3 school girls found dead today -- all wearing uniform - all in their teens - one in Karachi, 2 in Guj…"
Balochistan,RT @BhaiChod: #Satellite images of the damages #Earthquake #Balochistan #Awaran http://t.co/NqiFgqVN1c and #Gajar http://t.co/JQ6hl8ftlt #U…
Awaran,RT @BhaiChod: #Satellite images of the damages #Earthquake #Balochistan #Awaran http://t.co/NqiFgqVN1c and #Gajar http://t.co/JQ6hl8ftlt #U…
Gajar,RT @BhaiChod: #Satellite images of the damages #Earthquake #Balochistan #Awaran http://t.co/NqiFgqVN1c and #Gajar http://t.co/JQ6hl8ftlt #U…
Pakistan,RT @PT_Foundation: .@TBIJ has launched a news website to track drone deaths in #Pakistan  http://t.co/0hoSRFIX9J @STWuk #AntiWar @_AntiWar_…
Balochistan coast,RT @mirza9: Two more islands have emerged off the #Balochistan coast after the earthquake - http://t.co/XqvTgo46gJ #Pakistan
Pakistan,"RT @LBCI_News_EN: #Pakistan quake death toll reaches 515, separatist insurgents hampering relief effort-provincial official -Reuters"
Gwadar,"RT @q_nida: 300,000+ people have been affected over five districts; Awaran, Panjgur, Chaghi, Khuzdar and Gwadar. Deaths: 358 Wounded: 530. …"
Panjgur,"RT @q_nida: 300,000+ people have been affected over five districts; Awaran, Panjgur, Chaghi, Khuzdar and Gwadar. Deaths: 358 Wounded: 530. …"
Chaghi,"RT @q_nida: 300,000+ people have been affected over five districts; Awaran, Panjgur, Chaghi, Khuzdar and Gwadar. Deaths: 358 Wounded: 530. …"
Balochistan,â€œ@CapitalTV_News: More than 700 people died because of #Earthquake in #Balochistan and the government was nowhere - @FauziaKasuri #PTI
Pakistan,#Bus #bomb in #Pakistan kills 17 government workers and leaves over 40 injured http://t.co/3HvbG9kOut http://t.co/mgtHGU6Gsu
Pakistan,#Bus #bomb in #Pakistan kills 17 government workers and leaves over 40 injured http://t.co/3HvbG9kOut http://t.co/mgtHGU6Gsu
Pakistan,#Karachi: #TTP local commander killed in clash http://t.co/PZlkhLxxLl  #Pakistan svia @sharethis
Karachi,#Karachi: #TTP local commander killed in clash http://t.co/PZlkhLxxLl  #Pakistan svia @sharethis
Karachi,#Karachi: #TTP local commander killed in clash http://t.co/PZlkhLxxLl  #Pakistan svia @sharethis
Pakistan,#Karachi: #TTP local commander killed in clash http://t.co/PZlkhLxxLl  #Pakistan svia @sharethis
Pakistan,"RT @AhmerMurad: Who dies in drone strikes? @TBIJ launches #NamingTheDead project to identify the 2,500+ killed in #Pakistan http://t.co/M0C…"
Pakistan,"RT @DDNewsLive: 515 killed in #Pakistan's #earthquake, rescue teams still to reach several remote areas"
Peshawar,More than 700 people died in #Earthquake and 80 in #Peshawar Blast. But indifferent #KingOfRaiwind is just having a fun on foreign tours.
Awaran district,"RT @faizanlakhani: Firing at helicopter carrying relief goods for earthquake victims in Awaran district, no loss reported. #Pakistan"
Awaran,"RT @SBaloch8: Death toll has reached 1000+ and still counting,thousands injured, millions home less in #Awaran #OccupiedBalochistan #Balochâ€¦"
Awaran,"RT @SBaloch8: Death toll has reached 1000+ and still counting,thousands injured, millions home less in #Awaran #OccupiedBalochistan #Balochâ€¦"
Awaran,"RT @SBaloch8: Death toll has reached 1000+ and still counting,thousands injured, millions home less in #Awaran #OccupiedBalochistan #Balochâ€¦"
Pakistan,"300,000 people have been affected, 21,000 homes have been destroyed and over 350 people have died. #earthquake #Pakistan"
Pakistan,"300,000 people have been affected, 21,000 homes have been destroyed and over 350 people have died. #earthquake #Pakistan"
Pakistan,"300,000 people have been affected, 21,000 homes have been destroyed and over 350 people have died. #earthquake #Pakistan"
Pakistan,Death Toll in Earthquake in Pakistan Climbs To 355 http://t.co/puoFx7TcHP #quake #earthquake
Pakistani,RT @Wekhevixwaz: #Balochistan hit with 7.8 magnitude earthquake. Death toll continues to rise. How is the #Pakistani government responding?
Balochistan,RT @Wekhevixwaz: #Balochistan hit with 7.8 magnitude earthquake. Death toll continues to rise. How is the #Pakistani government responding?
Pakistan,"RT @MansingBhor: No one discussing about the #Pakistan earthquake? Toll reaches 515, insurgents hamper aid efforts http://t.co/lJn7kxNK2D #â€¦"
Orangi Town,One dead several injured as bus overturns in Orangi Town  #pakistan
pakistan,One dead several injured as bus overturns in Orangi Town  #pakistan
pakistan,One dead several injured as bus overturns in Orangi Town  #pakistan
Orangi Town,One dead several injured as bus overturns in Orangi Town  #pakistan
Pakistan,Meanwhile in #Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http://t.co/3LbkOlJg3Y
Pakistan,Hundreds die in a 7.7-magnitude #Pakistan #earthquake  http://t.co/zXcCGULBwc
Pakistan,RT @Faiz_Baluch: #Balochistan quake death toll continues to climb - AlJazeera exposed the lies of Pakistan Govt relief operations http://t.…
Balochistan,RT @Faiz_Baluch: #Balochistan quake death toll continues to climb - AlJazeera exposed the lies of Pakistan Govt relief operations http://t.…
Balochistan,RT @Meher_J: @AFP @AP @Unesco @Unicef Just In: Death Toll In #Balochistan Expctd To Reach 50 ..100 Injuries Reported ..#BalochistanEarthQua…
Balochistan,RT @Meher_J: @AFP @AP @Unesco @Unicef Just In: Death Toll In #Balochistan Expctd To Reach 50 ..100 Injuries Reported ..#BalochistanEarthQua…
Pakistan,"Another strong Jolt of #EarthQuake hit the #Baluchistan province of Pakistan,Many houses wr destroyed,Many civil remained under collapsed"
Baluchistan,"Another strong Jolt of #EarthQuake hit the #Baluchistan province of Pakistan,Many houses wr destroyed,Many civil remained under collapsed"
Awaran,"RT @CNBCPAKISTAN: DC #Awaran says several houses damaged due to latest #earthquake, dozens buried under rubble, rescue work underway #Balocâ€¦"
Awaran,"RT @CNBCPAKISTAN: DC #Awaran says several houses damaged due to latest #earthquake, dozens buried under rubble, rescue work underway #Balocâ€¦"
Pakistan,2013 dead .. a disgrace odyssey #earthquake #Balochistan #Pakistan
Balochistan,2013 dead .. a disgrace odyssey #earthquake #Balochistan #Pakistan
Panjgur,"#PAK #QUETTA 5militants killed in exchange of gunfire as they attacked security check-post in Panjgur area of #Balochistan ,FC officials say"
Balochistan,"#PAK #QUETTA 5militants killed in exchange of gunfire as they attacked security check-post in Panjgur area of #Balochistan ,FC officials say"
Kashmir,"RT @Senator_Baloch: #Baloch friendly #Earthquake or Suppression of Information? A 7.6 quake in Kashmir killed 73,000. How a 7.7 destroy onl…"
Balochistan,RT @dawn_com: Another #earthquake jolts shattered #Balochistan district; death toll rises to 366 http://t.co/i3bLvb5Cdu #Awaran #Pakistan
Nokju,"RT @siddegreat: Update: Death toll in today's magnitude 7.2 #earthquake rises to 11. 7 bodies found in Nokju, 4 found in Lathi #Awaran #Bal…"
Lathi,"RT @siddegreat: Update: Death toll in today's magnitude 7.2 #earthquake rises to 11. 7 bodies found in Nokju, 4 found in Lathi #Awaran #Bal…"
Mashkay,RT @Baahirezaman: 12 confirmed dead many injured because of today's #earthquake in #Mashkay - Govt. Of #Balochistan
Balochistan,RT @Baahirezaman: 12 confirmed dead many injured because of today's #earthquake in #Mashkay - Govt. Of #Balochistan
Mashkay,RT @Baahirezaman: 12 confirmed dead many injured because of today's #earthquake in #Mashkay - Govt. Of #Balochistan
Balochistan,RT @Baahirezaman: 12 confirmed dead many injured because of today's #earthquake in #Mashkay - Govt. Of #Balochistan
Pakistan,RT @AlArabiya_Eng: #BreakingNews: At least 12 dead in powerful new #Pakistan earthquake: officials
Balochistan,RT @xe_m: At least 12 dead in powerful new Balochistan earthquake: officials http://t.co/RQHfr0W4IZ #Pakistan
Pakistan,RT @xe_m: At least 12 dead in powerful new Balochistan earthquake: officials http://t.co/RQHfr0W4IZ #Pakistan
Pakistan,15 killed as powerful 7.2-magnitude aftershock hits #Balochistan in #Pakistan
Balochistan,15 killed as powerful 7.2-magnitude aftershock hits #Balochistan in #Pakistan
Mashkay,-Update: More than 20 killed in another powerful 7.2 magnitude earthquake in Nokjo area of Mashkay #Balochistan. Death toll feared to rise.
Balochistan,-Update: More than 20 killed in another powerful 7.2 magnitude earthquake in Nokjo area of Mashkay #Balochistan. Death toll feared to rise.
Balochistan,-Update: More than 20 killed in another powerful 7.2 magnitude earthquake in Nokjo area of Mashkay #Balochistan. Death toll feared to rise.
Mashkay,-Update: More than 20 killed in another powerful 7.2 magnitude earthquake in Nokjo area of Mashkay #Balochistan. Death toll feared to rise.
Pakistan,RT @dawn_com: 12 killed as another quake jolts shattered #Balochistan district | Updates http://t.co/i3bLvb5Cdu #Awaran #Pakistan #earthquaâ€¦
Balochistan district,RT @dawn_com: 12 killed as another quake jolts shattered #Balochistan district | Updates http://t.co/i3bLvb5Cdu #Awaran #Pakistan #earthquaâ€¦
new island,#NASA satellite images confirm creation of new island after #Pakistan earthquake. http://t.co/3MFCzUXKWu
Awaran,"RT @janbaloch45: 90 percent of #Awaran,after Earthquake destroyed-death toll above 1000 - Shelter, Food and Medicine needed .@secgen http:/…"
Pakistan,RT @theOFDA: Death toll rising in #Pakistan: 270+ now dead &amp; hundreds more injured by yesterday's #earthquake. Our experts are monitoring tâ€¦
Pakistan,RT @theOFDA: Death toll rising in #Pakistan: 270+ now dead &amp; hundreds more injured by yesterday's #earthquake. Our experts are monitoring tâ€¦
pakistan,RT @AlertNet: Aftershock kills 15 in quake-hit Pakistan province http://t.co/ZXmY98Lqya #pakistan #earthquake #quake
Pakistan,RT @AlertNet: Aftershock kills 15 in quake-hit Pakistan province http://t.co/ZXmY98Lqya #pakistan #earthquake #quake
Pakistan,"A 6.8-magnitude earthquake has struck #Pakistan, in a region where at least 400 people died in a quake this week http://t.co/E4CYkv4UAP"
Balochistan,"According to UNDP #Earthquake Update: Death toll rises to 515 |  #Balochistan ,  #Quetta ,  #Awaran  #Pakistan"
Awaran,"According to UNDP #Earthquake Update: Death toll rises to 515 |  #Balochistan ,  #Quetta ,  #Awaran  #Pakistan"
Pakistan,"According to UNDP #Earthquake Update: Death toll rises to 515 |  #Balochistan ,  #Quetta ,  #Awaran  #Pakistan"
Pakistan,"New #Pakistan quake kills 12; militants kill 4 troops, military says http://t.co/xbl0GNAsri"
Pakistan,"New #Pakistan quake kills 12; militants kill 4 troops, military says http://t.co/xbl0GNAsri"
PAKISTAN,"#PAKISTAN Pakistan hit by another earthquake in same place, at least 22 dead - GlobalPost"
Balochistan,#BalochistanEarthquaeke At least 25 people have reportedly been killed as a second powerful earthquake has struck occupied #Balochistan
