place name,type of impact,impact place relation,modifier place relation,severity impact relation,item impact relation,tweet text,impact category,geometry
Balochistan,Dead,Balochistan dead,in Balochistan,Hundreds dead,,#Pakistan earthquake: Hundreds dead in #Balochistan http://t.co/TS7Wa2Vy9g #Nepal Needs To Focus Preventive Measures Before It Is Too Late.,Death,POINT (65.64355 28.47849)
Kohlu,Collapsed,Kohlu collapsed,in Kohlu,,Madarsah collapsed,RT @CNBCPAKISTAN: #Breaking: 14 seminary student including Imam found dead under rubble of collapsed Madarsah in Kohlu #Balochistan #Earthqâ€¦,Damage,POINT (68.80721 29.64414)
Kohlu,Dead,Kohlu dead,in Kohlu,14 dead,Imam dead,RT @CNBCPAKISTAN: #Breaking: 14 seminary student including Imam found dead under rubble of collapsed Madarsah in Kohlu #Balochistan #Earthqâ€¦,Death,POINT (68.80721 29.64414)
Balochistan Province,Injured,Balochistan Province injured,,100 injured,,RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN,Injury,POINT (65.64355 28.47849)
Balochistan Province,Killed,Balochistan Province killed,,45 killed,,RT@UNOCHA #Pakistan: at least45 ppl hv been killed&amp;100injured following a 7.7earthquake in Balochistan Province-http://t.co/i1vs2ERpvo v @UN,Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,,327 Death,,Reuters: Death toll from #Pakistan quake reaches 327 - officials,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,,182 Death,,182 ? Death toll ? I thought182 blink RT @FoxNews: Death toll in #Pakistan earthquake rises to 182 http://t.co/tSI7wKGSVZ,Death,POINT (70 30)
Awaran,Destroyed,Awaran destroyed,in Awaran,"45,000 destroyed",houses destroyed,"RT @Chawash_Baloch: 45,000 houses destroyed in Awaran and Kech #earthquake,more than 300 deadbodies recovered from rubles,victims need imme…",Damage,POINT (65.42944 26.21157)
Kech,Destroyed,Kech destroyed,in Kech,"45,000 destroyed",houses destroyed,"RT @Chawash_Baloch: 45,000 houses destroyed in Awaran and Kech #earthquake,more than 300 deadbodies recovered from rubles,victims need imme…",Damage,POINT (63.11031 26.01791)
Peshawar,Dead,Peshawar dead,,,Pakistani dead,"Natural disaster or man made disaster, end result is dead Pakistani, May God have mercy on us all #Awaran #Balochistan #PeshawarChurchBlast",Death,POINT (71.57849 34.008)
Balochistan,Dead,Balochistan dead,,,Pakistani dead,"Natural disaster or man made disaster, end result is dead Pakistani, May God have mercy on us all #Awaran #Balochistan #PeshawarChurchBlast",Death,POINT (65.64355 28.47849)
Balochistan,Death,Balochistan Death,,285 Death,,RT @geonews_english: Death toll rises to 285 in #Balochistan #earthquake http://t.co/ZszK6xbter,Death,POINT (65.64355 28.47849)
Balochistan,Killed,Balochistan killed,in Balochistan,At least 421 killed,people killed,"#QUETTA: At least 421 people have been killed, 21 thousand houses affected due to #earthquake in Balochistan, Chairman NDMA says.",Death,POINT (65.64355 28.47849)
Pakistan,Dead,Pakistan dead,in Pakistan,Hundreds dead,,#Pakistan Pakistan earthquake: Hundreds dead in Balochistan | BBC - http://t.co/VAVCRQDrHW,Death,POINT (70 30)
Balochistan,Dead,Balochistan dead,in Balochistan,Hundreds dead,,#Pakistan Pakistan earthquake: Hundreds dead in Balochistan | BBC - http://t.co/VAVCRQDrHW,Death,POINT (65.64355 28.47849)
Pakistan's coast,New Island,Pakistan's coast New island,off Pakistan's coast,,,"RT @earthskyscience: New island off Pakistan's coast,... http://t.co/ueRxtmpdZ4 #Pakistan #Gwadar #Balochistan #Earthquake via @shawncable",Other,POINT (-77.05164 38.91317)
Pakistan,Creates,Pakistan creates,in Pakistan,,island creates,@PatriciaLMalik The 7.8 magnitude #earthquake in #Pakistan creates island off the coast of Balochistan http://t.co/O6Y6ilAu9o #jetlagged,Other,POINT (70 30)
Pakistan,Died,Pakistan died,in Pakistan,At least 328 died,people died,"*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*",Death,POINT (70 30)
Pakistan,Injured,Pakistan injured,in Pakistan,hundreds more injured,people injured,"*@BBCBreaking: At least 328 people are known to have died in powerful #earthquake in Pakistan, hundreds more injured http://t.co/ZaYn3ayQWv*",Injury,POINT (70 30)
Gwadar,Emerged,Gwadar emerged,in Gwadar,,new Island emerged,"A new Island emerged after #earthquake in #Gwadar,its called �??Zalzala Koh'' by the locals,Lets hope the gvt stays awy http://t.co/ibKLYcBsM9",Other,POINT (62.32541 25.12163)
Pakistan,Death,Pakistan Death,,rises to over 230 Death,,RT @RT_com: BREAKING UPDATE: Death toll from #Pakistan earthquake rises to over 230 http://t.co/fmytyHEJf4,Death,POINT (70 30)
Pakistan,Killed,Pakistan killed,,327 killed,people killed,RT @NoorulainK: Death toll continues to rise. Pakistani government confirms at least 327 people killed by 7.7-magnitude #earthquake in #Pakâ€¦,Death,POINT (70 30)
Balochistan,Lose Their Lives,Balochistan lose their lives,,Over 265 lose their lives,people lose their lives,RT @marvisirmed: Over 265 people lose their lives #EarthQuake #Balochistan since yesterday afternoon. There are still many areas where no r…,Other,POINT (65.64355 28.47849)
pakistan,Kills,pakistan kills,,39 kills,,#pakistan #quake kills 39 and creates island - http://t.co/6PKacTEImh,Death,POINT (70 30)
New Island,Rises Out,New Island Rises Out,,,,RT @Starseed52: #Sep24 New Island Rises Out of the Sea During 7.8 Earthquake in Pakistan http://t.co/XHXeSdEcd7 #Pakistan #quake #island,Other,POINT (140 -5)
Pakistan,Dead,Pakistan dead,in Pakistan,Hundreds dead,,This is horrible - #Pakistan earthquake: Hundreds dead in Balochistan http://t.co/88HHJKM1uu,Death,POINT (70 30)
Balochistan,Dead,Balochistan dead,in Balochistan,Hundreds dead,,This is horrible - #Pakistan earthquake: Hundreds dead in Balochistan http://t.co/88HHJKM1uu,Death,POINT (65.64355 28.47849)
Pakistan,Dead,Pakistan dead,,327 dead,,"RT @CBCAlerts: Number of dead in 7.7-magnitude #Pakistan earthquake jumps to 327, according to local officials.  Strong aftershocks continu…",Death,POINT (70 30)
Pakistan,Death Toll,Pakistan death toll,in Pakistan,330 death toll,,meanwhile in Pakistan the death toll rises to 330. #Earthquake,Death,POINT (70 30)
Balochistan,Dead,Balochistan dead,,More than 328 dead,,"RT @Rabail26: More than 328 dead, 400 injured because of 7.8 magnitude #earthquake in 6 districts of #Balochistan. http://t.co/j6yqKL9c2l #…",Death,POINT (65.64355 28.47849)
Balochistan,Injured,Balochistan injured,,400 injured,,"RT @Rabail26: More than 328 dead, 400 injured because of 7.8 magnitude #earthquake in 6 districts of #Balochistan. http://t.co/j6yqKL9c2l #…",Injury,POINT (65.64355 28.47849)
Balochistan,Injured,Balochistan injured,,446 injured,,RT @ajmaljami: death toll rises to 271 in #Balochistan #earthquake. tremors left 446 injured.  Chairman NDMA - #dunyatv,Injury,POINT (65.64355 28.47849)
Balochistan,Death,Balochistan death,,271 death,,RT @ajmaljami: death toll rises to 271 in #Balochistan #earthquake. tremors left 446 injured.  Chairman NDMA - #dunyatv,Death,POINT (65.64355 28.47849)
Balochistan,Died,Balochistan died,,one died,soldier died,UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake,Death,POINT (65.64355 28.47849)
Balochistan,Dead,Balochistan dead,,1000 dead,,UK PM left everything when just one soldier died. Here a 1000 are feared dead and our PM is no where to be seen! #Balochistan #earthquake,Death,POINT (65.64355 28.47849)
Balochistan,Dead,Balochistan dead,,400 dead,people dead,When 400 dead people get less coverage than a new island. #Balochistan  #moralities,Death,POINT (65.64355 28.47849)
island,Create,island create,,,,7.7 on the riktor scale ðŸ˜”ðŸ˜” Earthquake powerful enough to create a knew island wow! Allah hu Akbar #Pakistan,Other,POINT (-18 65)
Pakistan,Dead,Pakistan dead,,285 dead,,#Pakistan struggles to help quake victims; 285 dead     http://t.co/cAFA5Czs1J,Death,POINT (70 30)
Pakistan,Killed,Pakistan killed,in Pakistan,At least 327 killed,people killed,At least 327 people have been killed in #Pakistan's 7.7 magnitude earthquake. http://t.co/nLvaRxonuk,Death,POINT (70 30)
Baluchistan,Killed,Baluchistan killed,in Baluchistan,Over 330 killed,peoples killed,Over 330 peoples are killed in #Earthquake in #Baluchistan. Many are still missing. #Pakistan,Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,,328 Death,,RT @NewsBreaker: BREAKING: Death toll in #Pakistan earthquake jumps to 328: officials - @AFP,Death,POINT (70 30)
Kenya,Killed,Kenya killed,,142+ killed,,RT @MsIntervention: Week of Islamic terrorism: #Kenya: 130+ killed; #Nigeria: 142+; #Pakistan 82; #Iraq; 100+; #Afghanistan: 40+. It's real…,Death,POINT (38 1)
Pakistan,Death,Pakistan death,,over 300 death,,#Pakistan quake death toll rises to over 300 #UFO4UBlogAsia http://t.co/blHMdM41V8,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,in Pakistan,328 Death,,Death toll in #Pakistan earthquake rises to at least 328. http://t.co/b6DQq8iYKI,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,in Pakistan,182 Death,,RT @FoxNews: Death toll in #Pakistan earthquake rises to 182 http://t.co/BCVKARh4LT,Death,POINT (70 30)
Nevada,Tsunami,Nevada tsunami,,,,"??�#USGS #alert??? M 1.8, Nevada: September 25, 2013 21:20:43 GMT http://t.co/tgZdmiwWQH #earthquake #tsunami #prayfromjapan",Other,POINT (-116.75119 39.25021)
Awaran,Destroyed,Awaran destroyed,in Awaran,90% destroyed,houses destroyed,"RT @AnasMallick: 90% of houses in Awaran, Balochistan have been totally destroyed due to the #EarthQuake.",Damage,POINT (65.42944 26.21157)
Balochistan,Destroyed,Balochistan destroyed,in Balochistan,90% destroyed,houses destroyed,"RT @AnasMallick: 90% of houses in Awaran, Balochistan have been totally destroyed due to the #EarthQuake.",Damage,POINT (65.64355 28.47849)
Balochistan,Killed,Balochistan killed,in Balochistan,250+ killed,people killed,RT @DrAwab: 250+ people have been killed in #Balochistan didn't we have a Chief Minister there? Missing? Abducted? Or has he gone island hoâ€¦,Death,POINT (65.64355 28.47849)
Pakistan,Kills,Pakistan kills,,370 kills,,RT @RT_com: UPDATE: Devastating #Pakistan quake kills 370 http://t.co/fmytyHEJf4,Death,POINT (70 30)
Pakistan,Kills,Pakistan kills,southwest Pakistan,210 kills,,RT @abc13houston: UPDATE: Massive quake in southwest #Pakistan kills 210 http://t.co/zifus0VpNU #abc13,Death,POINT (70 30)
Pakistan,Dead,Pakistan dead,,300 dead,,WATCH: 300 confirmed dead after a powerful earthquake hit southern #Pakistan. http://t.co/tZtmGaL75V #9MorningNews,Death,POINT (70 30)
Balochistan,Dead,Balochistan dead,in Balochistan,330 dead,,"RT @bbcworldservice: #Pakistan military and relief groups still trying to reach all areas hit by #quake in #Balochistan. 330 dead, expectedâ€¦",Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,,327 Death,,Death Toll Rises to 327 in Pakistan Quake - Voice of America | http://t.co/jfPqGrnPwg | #Pakistan,Death,POINT (70 30)
Awaran,Dead,Awaran dead,,264 dead,,"RT @SaimaMohsin: No emergency or surgical medical facilities in #Awaran - seriously injured have to be airlifted out. 264 dead, more than 4…",Death,POINT (65.42944 26.21157)
Awaran,Injured,Awaran injured,,,,"RT @SaimaMohsin: No emergency or surgical medical facilities in #Awaran - seriously injured have to be airlifted out. 264 dead, more than 4…",Injury,POINT (65.42944 26.21157)
Pakistan,Killed,Pakistan killed,,more than 200 killed,,Unfortunately more than 200 killed in massive #Pakistan #Earthquake,Death,POINT (70 30)
Balochistan,Kiling,Balochistan kiling,,more thn 300 kiling,ppl kiling,RT @NazBalochPTI: Balochistan tragic #earthquake kiling more thn 300 ppl. PTI Balochistan team &amp; volunteers will visit these areas for recoâ€¦,Other,POINT (65.64355 28.47849)
Balochistan,Injured,Balochistan injured,,500 injured,,"348 dead, 500 injured and rising. You are in my prayers #Balochistan #earthquake",Injury,POINT (65.64355 28.47849)
Balochistan,Dead,Balochistan dead,,348 dead,,"348 dead, 500 injured and rising. You are in my prayers #Balochistan #earthquake",Death,POINT (65.64355 28.47849)
Dandar,Killed,Dandar killed,in Dandar,At least 500 killed,people killed,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.,Death,POINT (69.94534 34.71884)
Turbat,Killed,Turbat killed,in Turbat,At least 500 killed,people killed,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.,Death,POINT (63.04849 26.00122)
Awaran,Killed,Awaran killed,in Awaran,At least 500 killed,people killed,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.,Death,POINT (65.42944 26.21157)
khuzdar,Killed,khuzdar killed,in khuzdar,At least 500 killed,people killed,At least 500 people have been killed by a powerful earthquake in #Awaran #khuzdar #Turbat #Dandar #Mashky #geshkoor #Pasni.,Death,POINT (66.61096 27.81193)
Pakistan,Injured,Pakistan injured,,"200,000 injured",,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless",Injury,POINT (70 30)
Pakistan,Dead,Pakistan dead,,"80,000 dead",,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless",Death,POINT (70 30)
Pakistan,Left Homeless,Pakistan left homeless,,4 million left homeless,ppl left homeless,"Earthquakes in #Pakistan timeline http://t.co/Y20lGxf9Pi Worst earthquake in 2005. 80,000 dead, 200,000 injured, 4 million ppl left homeless",Other,POINT (70 30)
Pakistan,Totally Collapsed,Pakistan totally collapsed,,,mud homes totally collapsed,"RT @bbcworldservice: #Pakistan mud homes totally collapsed, medical teams still unable to reach far-flung areas hit by #Balochistan #quake â€¦",Other,POINT (70 30)
Pakistan,Death,Pakistan death,,328 death,,RT @dawn_com: Massive #earthquake hits #Balochistan: death toll rises to 328 | Latest-News http://t.co/zabXDEzhiH #Pakistan #Awaran #Gwadar,Death,POINT (70 30)
Balochistan,Death,Balochistan death,,328 death,,RT @dawn_com: Massive #earthquake hits #Balochistan: death toll rises to 328 | Latest-News http://t.co/zabXDEzhiH #Pakistan #Awaran #Gwadar,Death,POINT (65.64355 28.47849)
Kashmir,Occupied,Kashmir occupied,in Kashmir,,,Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S,Other,POINT (75.40781 33.5329)
Kashmir,Dead,Kashmir dead,in Kashmir,Five dead,Indian Soldiers dead,Five Indian Soldiers and Six Policemen dead in Indian occupied Kashmir. #Pakistan http://t.co/es7W944i9S,Death,POINT (75.40781 33.5329)
Pakistan,Death,Pakistan death,,rises to 350 death,,Pakistan earthquake death toll rises to 350 http://t.co/S4cvjThzSc #Pakistan,Death,POINT (70 30)
Pakistan,Death,Pakistan death,,nears 350 death,,#Pakistan #News Balochistan quake death toll nears 350 http://t.co/JgzWdvmii3,Death,POINT (70 30)
Balochistan,Death,Balochistan death,,nears 350 death,,#Pakistan #News Balochistan quake death toll nears 350 http://t.co/JgzWdvmii3,Death,POINT (65.64355 28.47849)
Balochistan,Death,Balochistan Death,of Balochistan,350 Death,,Death toll of Balochistan earthquake hits 350 with more casualties feared #Pakistan http://t.co/JYxR9O1f7V �??,Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,of Pakistan,350 Death,,Death toll of Balochistan earthquake hits 350 with more casualties feared #Pakistan http://t.co/JYxR9O1f7V �??,Death,POINT (70 30)
Pakistan,Death,Pakistan death,,passed 300 death,people death,RT @AccessAid: The death toll in #Pakistan now passed 300 &amp; over 500 people confirmed injured. Government &amp; non-government #aid workers conâ€¦,Death,POINT (70 30)
Pakistan,Injured,Pakistan injured,,over 500 injured,people injured,RT @AccessAid: The death toll in #Pakistan now passed 300 &amp; over 500 people confirmed injured. Government &amp; non-government #aid workers conâ€¦,Injury,POINT (70 30)
Pakistan,Toll,Pakistan Toll,in Pakistan,Rises Past 300 Toll,,Toll in Quake in #Pakistan Rises Past 300 http://t.co/pnGpwrxdbg #Earthquake,Other,POINT (70 30)
Balochistan,Death Toll,Balochistan death toll,,nears 400 death toll,,RT @nk_achakzai: #Balochistan quake death toll nears 400 http://t.co/3q3fLvtNy5 �?? #Pakistan . Prayers are good but they want food &amp; Shelter�??,Death,POINT (65.64355 28.47849)
Pakistan,Death Toll,Pakistan death toll,,nears 400 death toll,,RT @nk_achakzai: #Balochistan quake death toll nears 400 http://t.co/3q3fLvtNy5 �?? #Pakistan . Prayers are good but they want food &amp; Shelter�??,Death,POINT (70 30)
Awaran,Death,Awaran Death,in Awaran,531 Death,,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv,Death,POINT (65.42944 26.21157)
Balochistan,Death,Balochistan Death,in Balochistan,531 Death,,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv,Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,in Pakistan,531 Death,,Death toll in #Balochistan #earthquake jumps to 531 #Awaran #Pakistan #Dunyatv,Death,POINT (70 30)
Pakistan,Dead,Pakistan dead,in Pakistan,Hundreds dead,,Hundreds dead in #Pakistan earthquake http://t.co/oEc5tjN3ul,Death,POINT (70 30)
Pakistan,Flammable Gas,Pakistan flammable gas,,,,~ BBC News - #Pakistan quake island off #Gwadar 'emits flammable gas' http://t.co/tns3BfTCT2 #paperli,Other,POINT (70 30)
Gwadar,Flammable Gas,Gwadar flammable gas,off Gwadar,,,~ BBC News - #Pakistan quake island off #Gwadar 'emits flammable gas' http://t.co/tns3BfTCT2 #paperli,Other,POINT (62.32541 25.12163)
Balochistan,Death,Balochistan Death,,531 Death,,#Pakistan #Islamabad #Death toll in #Balochistan #earthquake jumps to 531,Death,POINT (65.64355 28.47849)
Sea View,Dead,Sea View Dead,At Sea View,,13 Yr Old Girl Dead,"RT @CNBCPAKISTAN: Details: 13 Yr Old Girl Found Dead At Sea View :: CNBC #Pakistan :: http://t.co/Mwgnvvx088 #Karachi, #Crime #News",Death,POINT (-61.80281 17.08809)
Pakistan,Killed,Pakistan killed,,320 killed,people killed,Very sad @ShababLibya  Over 320 people killed in #Pakistan #earthquake.  Thoughts and prayers with the families who lost loved ones. RIP RT,Death,POINT (70 30)
Balochistan,Death,Balochistan Death,,,,"RT @dunyanetwork: Death toll in #Balochistan quake can further rise as some areas are still inaccessible, says Interior Minister #PMLN #ear…",Death,POINT (65.64355 28.47849)
Balochistan,Death,Balochistan Death,in Balochistan,rises to 350 Death,,RT @mmatalpur: #UNO help refused by #Pakistan. They always #Refuse. They care not. Death toll rises to 350 in quake-hit Balochistan http://�??,Death,POINT (65.64355 28.47849)
Pakistan,Death,Pakistan Death,,rises to 350 Death,,RT @mmatalpur: #UNO help refused by #Pakistan. They always #Refuse. They care not. Death toll rises to 350 in quake-hit Balochistan http://�??,Death,POINT (70 30)
Pak,Death,Pak death,,355 death,,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake,Death,POINT (100.49883 13.91301)
Pak,Death,Pakistan death,,355 death,,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake,Death,POINT (100.49883 13.91301)
Pakistan,Death,Pakistan death,,355 death,,Pak earthquake death toll is 355 so far. God's wrath or nature's fury ? #Pakistan #earthquake,Death,POINT (70 30)
Balochistan,Damaged,Balochistan damaged,,over 80% damaged,mud houses damaged,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k",Damage,POINT (65.64355 28.47849)
Awaran District,Damaged,Awaran District damaged,,over 80% damaged,mud houses damaged,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k",Damage,POINT (65.42944 26.21157)
Pakistan,Damaged,Pakistan damaged,,over 80% damaged,mud houses damaged,"RT @UNOCHA #Pakistan earthquake update: over 80% of mud houses in Awaran District, Balochistan reportedly damaged - http://t.co/i3wTpgeL4k",Damage,POINT (70 30)
Pakistan,Death,Pakistan death,,,,death toll rises and survivors suffer . #Pakistan #Earthquake  http://t.co/UZGokP1xLt,Death,POINT (70 30)
Pakistan,Suffer,Pakistan suffer,,,survivors suffer,death toll rises and survivors suffer . #Pakistan #Earthquake  http://t.co/UZGokP1xLt,Other,POINT (70 30)
Pakistan,Injured,Pakistan injured,,2 injured,boys injured,RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??,Injury,POINT (70 30)
Pakistan,Firing,Pakistan firing,,,,RT @AWAIS_NIAZI1: #KPKUpdates: 2 @ISFPakistan boys injured in firing on replacing #ANP flag wth #Pakistan on clg building. #Saramnaak http:�??,Other,POINT (70 30)
Pakistan,New Island,Pakistan new island,in Pakistan,,,"RT @CNNVideo: A deadly #earthquake in #Pakistan was so powerful that it created a new island, according to experts:  http://t.co/B4h76tNqsC",Other,POINT (70 30)
Pakistan,Deadly,Pakistan deadly,in Pakistan,,,"RT @CNNVideo: A deadly #earthquake in #Pakistan was so powerful that it created a new island, according to experts:  http://t.co/B4h76tNqsC",Other,POINT (70 30)
Balochistan,Death,Balochistan Death,,531 Death,,"Sleeping country, none cares about affectees #Awaran RT: Death toll in #Balochistan #earthquake jumps to 531 http://t.co/p4C8jtrug2 â€¦",Death,POINT (65.64355 28.47849)
Balochistan,Deaths,Balochistan Deaths,,348 Deaths,,RT @CNBCPAKISTAN: #Balochistan #Earthquake: Nisar Confirms 348 Deaths :: CNBC #Pakistan :: http://t.co/j9FvaHvi0R,Death,POINT (65.64355 28.47849)
Pakistan,Deaths,Pakistan Deaths,,348 Deaths,,RT @CNBCPAKISTAN: #Balochistan #Earthquake: Nisar Confirms 348 Deaths :: CNBC #Pakistan :: http://t.co/j9FvaHvi0R,Death,POINT (70 30)
Pakistan,Death,Pakistan Death,in Pakistan,348 Death,,RT @FoxNews: Death toll in massive #Pakistan earthquake rises to 348 http://t.co/ad2BkwG7gO,Death,POINT (70 30)
Balochistan,Death,Balochistan Death,,321 Death,,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only",Death,POINT (65.64355 28.47849)
Awaran,Death,Awaran Death,,321 Death,,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only",Death,POINT (65.42944 26.21157)
Balochistan,Deaths,Balochistan deaths,,365 deaths,,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only",Death,POINT (65.64355 28.47849)
Awaran,Deaths,Awaran deaths,,365 deaths,,"RT @CNBCPAKISTAN: Death toll as a result of devastating #earthquake in #Balochistan rises to 365, 321 deaths confirmed in #Awaran only",Death,POINT (65.42944 26.21157)
Balochistan,Dead,Balochistan dead,,44 dead,,"Awaran mn 312 dead,, Keich mn 44 dead..:( #Balochistan #earthquake",Death,POINT (65.64355 28.47849)
Awaran,Dead,Awaran dead,,44 dead,,"Awaran mn 312 dead,, Keich mn 44 dead..:( #Balochistan #earthquake",Death,POINT (65.42944 26.21157)
Gwadar,Emerged,Gwadar emerged,in Gwadar,,,"RT @SaamZad: #BalochistanQuake: An island has emerged in Gwadar on ""Paddi-Zer"" side. #Balochistan #Earthquake http://t.co/2hRnaJdWh8",Other,POINT (62.32541 25.12163)
island,Emerged,island emerged,in island,,,"RT @SaamZad: #BalochistanQuake: An island has emerged in Gwadar on ""Paddi-Zer"" side. #Balochistan #Earthquake http://t.co/2hRnaJdWh8",Other,POINT (-18 65)
Pakistan,Emerges,Pakistan emerges,,,island emerges,*Pop-up island* emerges after 7.7M #earthquake shook Pakistan http://t.co/Ite4PJZ0rg,Other,POINT (70 30)
Pakistan,Dead,Pakistan dead,,at least 357 dead,,"#Pakistan confirms at least 357 dead and more than 100,000 people homeless after quake | Full Story: http://t.co/mi9ryMT19w""",Death,POINT (70 30)
Pakistan,Homeless,Pakistan homeless,,"more than 100,000 homeless",people homeless,"#Pakistan confirms at least 357 dead and more than 100,000 people homeless after quake | Full Story: http://t.co/mi9ryMT19w""",Other,POINT (70 30)
Balochistan,Damages,Balochistan damages,,Nearly all damages,town damages,"RT @etribune: (News) Scale of #damages: Nearly all of #Mashkai town flattened, say survivors http://t.co/ESwmFWvesS #Balochistan #earthquake",Damage,POINT (65.64355 28.47849)
